elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
11.4,188506.7178502879,188506.7178502879,188506.7178502879,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
12.4,188290.78694817657,188290.78694817657,188290.78694817657,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
13.5,186520.00000000003,186520.00000000003,186520.00000000003,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
14.5,186608.2771896054,186608.2771896054,186608.2771896054,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
15.5,186352.26179018288,186352.26179018288,186352.26179018288,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
16.6,187032.6923076923,187032.6923076923,187032.6923076923,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
17.6,186299.13710450626,186299.13710450626,186299.13710450626,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
18.7,185531.97674418605,185531.97674418605,185531.97674418605,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
19.7,184373.32053742802,184373.32053742802,184373.32053742802,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
20.7,184094.23076923075,184094.23076923075,184094.23076923075,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
21.8,123758.15738963531,123758.15738963531,123758.15738963531,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
22.8,172631.83125599235,172631.83125599235,172631.83125599235,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
23.9,183224.88038277513,183224.88038277513,183224.88038277513,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
24.9,184205.37428023032,184205.37428023032,184205.37428023032,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
26.0,185659.3301435407,185659.3301435407,185659.3301435407,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
27.0,112425.96153846153,112425.96153846153,112425.96153846153,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
28.0,181864.9425287356,181864.9425287356,181864.9425287356,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
29.1,189883.65384615384,189883.65384615384,189883.65384615384,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
30.1,187961.64908916588,187961.64908916588,187961.64908916588,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
31.2,187493.2821497121,187493.2821497121,187493.2821497121,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
32.2,189173.70441458732,189173.70441458732,189173.70441458732,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
33.3,189638.19577735124,189638.19577735124,189638.19577735124,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
34.3,185640.1151631478,185640.1151631478,185640.1151631478,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
35.3,184585.41266794625,184585.41266794625,184585.41266794625,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
36.4,182787.1524448706,182787.1524448706,182787.1524448706,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
37.4,181593.09021113242,181593.09021113242,181593.09021113242,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
38.5,184008.63723608444,184008.63723608444,184008.63723608444,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
39.5,183549.90403071017,183549.90403071017,183549.90403071017,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
40.5,182045.1923076923,182045.1923076923,182045.1923076923,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
41.6,183561.42034548943,183561.42034548943,183561.42034548943,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
42.6,181427.06333973128,181427.06333973128,181427.06333973128,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
43.7,180695.11025886866,180695.11025886866,180695.11025886866,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
44.7,181952.97504798463,181952.97504798463,181952.97504798463,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
45.8,180329.17466410747,180329.17466410747,180329.17466410747,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
46.8,178693.85796545105,178693.85796545105,178693.85796545105,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
47.8,176538.83029721957,176538.83029721957,176538.83029721957,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
48.9,177958.73320537427,177958.73320537427,177958.73320537427,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
49.9,174931.86180422263,174931.86180422263,174931.86180422263,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
51.0,174509.59692898273,174509.59692898273,174509.59692898273,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
52.0,173917.46641074854,173917.46641074854,173917.46641074854,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
53.1,173765.10067114094,173765.10067114094,173765.10067114094,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
54.1,172190.97888675623,172190.97888675623,172190.97888675623,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
55.1,167664.1074856046,167664.1074856046,167664.1074856046,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
1.0,404902.1317829457,404902.1317829457,404902.1317829457,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
2.1,441920.6195546951,441920.6195546951,441920.6195546951,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
3.1,387612.5603864735,387612.5603864735,387612.5603864735,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
4.1,344590.95283926855,344590.95283926855,344590.95283926855,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
5.2,361908.47784200386,361908.47784200386,361908.47784200386,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
6.2,394449.567723343,394449.567723343,394449.567723343,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
7.3,409431.73076923075,409431.73076923075,409431.73076923075,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
8.3,421404.41882804997,421404.41882804997,421404.41882804997,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
9.3,399901.92307692306,399901.92307692306,399901.92307692306,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
10.4,419796.9348659004,419796.9348659004,419796.9348659004,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
11.4,437504.3144774689,437504.3144774689,437504.3144774689,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
12.5,415272.9885057471,415272.9885057471,415272.9885057471,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
13.5,388366.41221374046,388366.41221374046,388366.41221374046,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
14.6,372418.1818181818,372418.1818181818,372418.1818181818,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
15.6,291337.786259542,291337.786259542,291337.786259542,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
16.7,245296.93486590037,245296.93486590037,245296.93486590037,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
17.7,293873.68421052635,293873.68421052635,293873.68421052635,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
18.7,350801.1583011583,350801.1583011583,350801.1583011583,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
19.8,352578.59209257475,352578.59209257475,352578.59209257475,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
20.8,358380.5394990366,358380.5394990366,358380.5394990366,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
21.9,356589.8174831893,356589.8174831893,356589.8174831893,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
22.9,328024.0153698367,328024.0153698367,328024.0153698367,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
23.9,332415.9462055716,332415.9462055716,332415.9462055716,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
25.0,270375.6003842459,270375.6003842459,270375.6003842459,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
26.0,270055.6621880998,270055.6621880998,270055.6621880998,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
27.1,329746.1538461538,329746.1538461538,329746.1538461538,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
28.1,149806.91642651297,149806.91642651297,149806.91642651297,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
1.0,295234.496124031,295234.496124031,295234.496124031,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
2.1,349552.12355212355,349552.12355212355,349552.12355212355,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
3.1,368706.8466730955,368706.8466730955,368706.8466730955,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
4.1,382566.4739884393,382566.4739884393,382566.4739884393,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
5.2,378438.8835418672,378438.8835418672,378438.8835418672,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
6.2,390314.42307692306,390314.42307692306,390314.42307692306,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
7.3,387899.03846153844,387899.03846153844,387899.03846153844,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
8.3,383253.35892514396,383253.35892514396,383253.35892514396,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
9.3,383857.9654510557,383857.9654510557,383857.9654510557,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
10.4,370803.0592734225,370803.0592734225,370803.0592734225,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
11.4,298486.5642994242,298486.5642994242,298486.5642994242,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
12.5,156136.75213675215,156136.75213675215,156136.75213675215,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
13.5,174717.4541947927,174717.4541947927,174717.4541947927,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
14.6,186613.18051575933,186613.18051575933,186613.18051575933,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
15.6,188177.82026768642,188177.82026768642,188177.82026768642,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
16.7,185264.81835564054,185264.81835564054,185264.81835564054,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
17.7,184953.154875717,184953.154875717,184953.154875717,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
18.8,177762.1776504298,177762.1776504298,177762.1776504298,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
19.8,171148.4674329502,171148.4674329502,171148.4674329502,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
20.8,169758.35721107927,169758.35721107927,169758.35721107927,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
21.9,170454.11089866157,170454.11089866157,170454.11089866157,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
22.9,172217.017208413,172217.017208413,172217.017208413,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
24.0,169012.41642788923,169012.41642788923,169012.41642788923,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
25.0,169820.38834951457,169820.38834951457,169820.38834951457,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
26.1,168838.5864374403,168838.5864374403,168838.5864374403,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
27.1,168262.70373921382,168262.70373921382,168262.70373921382,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
28.2,149665.39196940727,149665.39196940727,149665.39196940727,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
29.2,184644.019138756,184644.019138756,184644.019138756,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
30.2,175547.55043227668,175547.55043227668,175547.55043227668,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
31.3,171252.14899713467,171252.14899713467,171252.14899713467,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
32.3,172735.68702290076,172735.68702290076,172735.68702290076,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
33.4,175092.91187739462,175092.91187739462,175092.91187739462,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
34.4,142732.75862068965,142732.75862068965,142732.75862068965,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
35.5,145163.30451488955,145163.30451488955,145163.30451488955,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
36.5,149195.38017324352,149195.38017324352,149195.38017324352,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
37.5,150244.23076923075,150244.23076923075,150244.23076923075,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
38.6,130567.17850287908,130567.17850287908,130567.17850287908,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
39.6,96726.5774378585,96726.5774378585,96726.5774378585,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
40.7,105718.3908045977,105718.3908045977,105718.3908045977,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
41.7,151497.1264367816,151497.1264367816,151497.1264367816,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
42.8,153355.7046979866,153355.7046979866,153355.7046979866,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
43.8,157357.27969348658,157357.27969348658,157357.27969348658,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
44.8,180271.93828351013,180271.93828351013,180271.93828351013,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
45.9,110352.88461538461,110352.88461538461,110352.88461538461,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
46.9,111925.89027911454,111925.89027911454,111925.89027911454,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
48.0,117063.33973128599,117063.33973128599,117063.33973128599,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
